city,county,district,grades,number_alt_schools,number_elementary_schools,number_high_schools,number_middle_schools,rank,rank_2016,rank_change,rank_score_2017,sd_rating
Castleton,Rensselaer,Schodack Central School District,K-12,0,1,1,1,207th,169,38,0.742,4
Lowville,Lewis,Lowville Academy & Central School District,"PK, KG-12",0,1,1,1,208th,265,57,0.742,4
Bedford,Westchester,Bedford Central School District,K-12,0,5,1,1,209th,171,38,0.742,4
Randolph,Cattaraugus,Randolph Central School District,"PK, KG-12",0,1,1,0,210th,155,55,0.742,4
Brooklyn,Kings,Community Roots Charter School,K-8,0,1,0,0,211th,292,81,0.741,4
Bronx,Bronx,Grand Concourse Academy Charter School,K-7,0,1,0,0,212th,,(n/a),0.74,4
Webster,Monroe,Webster Central School District,"PK, KG-12",0,7,2,2,213th,161,52,0.738,4
West Islip,Suffolk,West Islip Union Free School District,K-12,0,4,1,2,214th,227,13,0.737,4
Windsor,Broome,Windsor Central School District,"PK, KG-12",0,3,1,0,215th,196,19,0.736,4
Barker,Niagara,Barker Central School District,"PK, KG-12",1,1,0,0,216th,201,15,0.734,4
Valhalla,Westchester,Valhalla Union Free School District,K-12,0,2,1,1,217th,207,10,0.734,4
Hamburg,Erie,Frontier Central School District,"PK, KG-12",0,4,1,1,218th,183,35,0.734,4
Livonia,Livingston,Livonia Central School District,"PK, KG-12",0,1,1,1,219th,216,3,0.731,4
Chazy,Clinton,Chazy Union Free School District,K-12,0,1,1,0,220th,297,77,0.726,4
Tully,Onondaga,Tully Central School District,K-12,0,1,1,0,221st,261,40,0.726,4
Kendall,Orleans,Kendall Central School District,"PK, KG-12",0,1,1,0,222nd,266,44,0.725,4
Galway,Saratoga,Galway Central School District,K-12,0,1,1,0,223rd,189,34,0.723,4
Central Valley,Orange,Monroe-Woodbury Central School District,K-12,0,5,1,1,224th,187,37,0.723,4
Nyack,Rockland,Nyack Union Free School District,K-12,0,3,1,1,225th,269,44,0.723,4
Tuxedo Park,Orange,Tuxedo Union Free School District,K-12,0,1,1,0,226th,304,78,0.722,4
Ballston Spa,Saratoga,Ballston Spa Central School District,K-12,0,4,1,1,227th,206,21,0.722,4
Fabius,Onondaga,Fabius-Pompey Central School District,K-12,1,1,0,0,228th,223,5,0.721,4
Bloomfield,Ontario,East Bloomfield Central School District,"PK, KG-12",0,1,1,1,229th,390,161,0.721,4
Honeoye,Ontario,Honeoye Central School District,K-12,1,1,0,0,230th,291,61,0.72,4
New York,New York,Manhattan Charter School,K-5,0,1,0,0,231st,276,45,0.72,4
Stillwater,Saratoga,Stillwater Central School District,"PK, KG-12",1,1,0,0,232nd,219,13,0.72,4
Ontario Center,Wayne,Wayne Central School District,"PK, KG-12",1,3,1,0,233rd,241,8,0.719,4
Potsdam,St. Lawrence,Potsdam Central School District,"PK, KG-12",1,1,0,1,234th,199,35,0.718,4
Portville,Cattaraugus,Portville Central School District,"PK, KG-12",0,1,1,0,235th,289,54,0.717,4
Long Island City,Queens,Voice Charter School Of New York,K-8,0,1,0,0,236th,318,82,0.717,4
Yorkshire,Cattaraugus,Yorkshire-Pioneer Central School District,"PK, KG-12",0,2,1,1,237th,226,11,0.716,4
Mahopac,Putnam,Mahopac Central School District,K-12,0,3,1,2,238th,234,4,0.715,4
Schuylerville,Saratoga,Schuylerville Central School District,K-12,0,1,1,1,239th,190,49,0.715,4
Le Roy,Genesee,Le Roy Central School District,"PK, KG-12",0,1,1,0,240th,262,22,0.714,4
Blauvelt,Rockland,South Orangetown Central School District,K-12,0,2,1,1,241st,149,92,0.714,4
Hicksville,Nassau,Hicksville Union Free School District,"PK, KG-12",0,7,1,1,242nd,193,49,0.714,3
Boiceville,Ulster,Onteora Central School District,K-12,0,3,1,1,243rd,322,79,0.712,3
Millbrook,Dutchess,Millbrook Central School District,K-12,0,2,1,1,244th,255,11,0.71,3
New York,New York,Dream Charter School,"PK, KG-8",0,1,0,0,245th,337,92,0.709,3
Greene,Chenango,Greene Central School District,"PK, KG-12",0,2,1,1,246th,194,52,0.708,3
Perry,Wyoming,Perry Central School District,"PK, KG-12",0,1,1,0,247th,290,43,0.707,3
Parishville,St. Lawrence,Parishville-Hopkinton Central School District,"PK, KG-12",0,1,1,0,248th,195,53,0.707,3
Horseheads,Chemung,Horseheads Central School District,"PK, KG-12",0,4,1,2,249th,203,46,0.706,3
Montrose,Westchester,Hendrick Hudson Central School District,K-12,0,3,1,1,250th,303,53,0.703,3
Putnam Valley,Putnam,Putnam Valley Central School District,K-12,0,1,1,1,251st,295,44,0.701,3
Bronx,Bronx,Brilla College Preparatory Charter School,K-4,0,1,0,0,252nd,,(n/a),0.701,3
Fredonia,Chautauqua,Fredonia Central School District,"PK, KG-12",0,1,1,1,253rd,310,57,0.701,3
Walworth,Wayne,Gananda Central School District,K-12,0,1,1,1,254th,254,,0.701,3
Brooklyn,Kings,New York City Geographic District #20,"PK, KG-12",1,31,4,7,255th,250,5,0.7,3
Jamestown,Chautauqua,Southwestern Central School District At Jamestown,"PK, KG-12",1,0,1,1,256th,225,31,0.699,3
Islip Terrace,Suffolk,East Islip Union Free School District,K-12,0,4,1,1,257th,236,21,0.699,3
Greenwich,Washington,Greenwich Central School District,K-12,0,1,1,0,258th,151,107,0.699,3
Remsenburg,Suffolk,Remsenburg-Speonk Union Free School District,K-6,0,1,0,0,259th,205,54,0.698,3
Malverne,Nassau,Malverne Union Free School District,K-12,0,2,1,1,260th,228,32,0.696,3
Lindenhurst,Suffolk,Lindenhurst Union Free School District,K-12,1,5,1,1,261st,248,13,0.693,3
Dexter,Jefferson,General Brown Central School District,"PK, KG-12",0,2,1,0,262nd,286,24,0.689,3
Allegany,Cattaraugus,Allegany-Limestone Central School District,"PK, KG-12",1,1,0,0,263rd,308,45,0.688,3
Hempstead,Nassau,Evergreen Charter School,K-6,0,1,0,0,264th,246,18,0.684,3
Syracuse,Onondaga,Westhill Central School District,K-12,0,2,1,1,265th,124,141,0.684,3
Bronx,Bronx,Harriet Tubman Charter School,K-8,0,1,0,0,266th,235,31,0.683,3
Frewsburg,Chautauqua,Frewsburg Central School District,"PK, KG-12",0,1,1,0,267th,273,6,0.683,3
Brooklyn,Kings,Pave Academy Charter School,"PK, KG-8",0,1,0,0,268th,407,139,0.682,3
Hilton,Monroe,Hilton Central School District,"PK, KG-12",0,3,1,1,269th,220,49,0.681,3
Binghamton,Broome,Chenango Valley Central School District,"PK, KG-12",0,2,1,1,270th,294,24,0.681,3
Oriskany,Oneida,Oriskany Central School District,"PK, KG-12",0,1,1,0,271st,280,9,0.679,3
Flushing,Queens,New York City Geographic District #25,"PK, KG-12",3,26,9,7,272nd,258,14,0.679,3
