ownertype,borough,schooldist,zipcode,address,xcoord,ycoord,buildingclassatpresent,saleprice,saledate
P,MN,2,10002,357 GRAND STREET,987555,199917,D4,999000,2018-04-26
P,MN,1,10002,570 GRAND STREET,990244,199524,D4,900000,2018-01-04
P,MN,1,10002,570 GRAND STREET,990244,199524,D4,815000,2017-11-22
P,MN,1,10002,570 GRAND STREET,990244,199524,D4,699000,2017-09-29
 ,MN,1,10002,409 GRAND STREET,988158,199791,D4,496000,2017-07-26
P,MN,1,10002,570 GRAND STREET,990244,199524,D4,1185000,2017-07-06
P,MN,1,10002,570 GRAND STREET,990244,199524,D4,0,2017-07-25
 ,MN,1,10002,409 GRAND STREET,988158,199791,D4,0,2017-10-02
 ,MN,1,10002,409 GRAND STREET,988158,199791,D4,1055000,2017-11-06
P,MN,1,10002,453 F D R DRIVE,990076,199024,D4,699000,2018-03-06
P,MN,2,10002,357 GRAND STREET,987555,199917,D4,1075000,2018-01-11
P,MN,1,10002,530 GRAND STREET,989641,199688,D4,579000,2017-09-28
P,MN,1,10002,570 GRAND STREET,990244,199524,D4,1350000,2017-07-28
P,MN,1,10002,570 GRAND STREET,990244,199524,D4,775000,2017-07-27
P,MN,1,10002,570 GRAND STREET,990244,199524,D4,635000,2017-10-12
 ,MN,1,10002,409 GRAND STREET,988158,199791,D4,0,2018-03-27
P,MN,1,10002,453 F D R DRIVE,990076,199024,D4,870000,2017-09-07
P,MN,2,10002,357 GRAND STREET,987555,199917,D4,1575000,2017-07-18
 ,MN,1,10002,409 GRAND STREET,988158,199791,D4,2200000,2018-01-23
P,MN,1,10002,453 F D R DRIVE,990076,199024,D4,1175000,2018-04-13
P,MN,1,10002,570 GRAND STREET,990244,199524,D4,585000,2017-11-30
 ,MN,1,10002,409 GRAND STREET,988158,199791,D4,987000,2017-07-20
P,MN,1,10002,530 GRAND STREET,989641,199688,D4,562500,2018-01-10
P,MN,1,10002,530 GRAND STREET,989641,199688,D4,815000,2017-11-30
P,MN,1,10002,453 F D R DRIVE,990076,199024,D4,825000,2017-07-31
P,MN,1,10002,570 GRAND STREET,990244,199524,D4,795000,2018-05-11
P,MN,1,10002,570 GRAND STREET,990244,199524,D4,1625000,2018-01-24
P,MN,1,10002,530 GRAND STREET,989641,199688,D4,750000,2017-09-12
P,MN,1,10002,453 F D R DRIVE,990076,199024,D4,950000,2017-08-01
P,MN,1,10002,530 GRAND STREET,989641,199688,D4,579000,2017-07-19
 ,MN,1,10002,409 GRAND STREET,988158,199791,D4,1050000,2017-10-02
P,MN,2,10002,357 GRAND STREET,987555,199917,D4,1052500,2017-08-30
 ,MN,1,10002,409 GRAND STREET,988158,199791,D4,745000,2017-08-14
P,MN,2,10002,357 GRAND STREET,987555,199917,D4,510000,2017-07-14
 ,MN,1,10002,409 GRAND STREET,988158,199791,D4,0,2017-09-30
 ,MN,1,10002,409 GRAND STREET,988158,199791,D4,0,2018-04-18
P,MN,1,10002,570 GRAND STREET,990244,199524,D4,813000,2018-03-23
P,MN,2,10002,357 GRAND STREET,987555,199917,D4,720000,2017-09-15
P,MN,2,10002,357 GRAND STREET,987555,199917,D4,0,2017-09-15
P,MN,1,10002,453 F D R DRIVE,990076,199024,D4,608000,2017-10-30
P,MN,1,10002,453 F D R DRIVE,990076,199024,D4,695000,2017-12-18
P,MN,1,10002,453 F D R DRIVE,990076,199024,D4,650000,2017-09-12
P,MN,2,10002,357 GRAND STREET,987555,199917,D4,1070000,2018-03-19
P,MN,1,10002,570 GRAND STREET,990244,199524,D4,890000,2017-12-13
P,MN,1,10002,453 F D R DRIVE,990076,199024,D4,590000,2017-09-26
P,MN,2,10002,357 GRAND STREET,987555,199917,D4,751000,2018-02-07
 ,MN,1,10002,409 GRAND STREET,988158,199791,D4,499000,2018-03-12
P,MN,2,10002,357 GRAND STREET,987555,199917,D4,802000,2017-10-17
P,MN,1,10002,453 F D R DRIVE,990076,199024,D4,1579000,2018-02-15
P,MN,2,10002,357 GRAND STREET,987555,199917,D4,744000,2017-09-12
P,MN,1,10002,453 F D R DRIVE,990076,199024,D4,1525000,2017-11-16
P,MN,2,10002,357 GRAND STREET,987555,199917,D4,0,2017-12-08
P,MN,2,10002,357 GRAND STREET,987555,199917,D4,489000,2018-05-17
P,MN,2,10002,357 GRAND STREET,987555,199917,D4,1230000,2017-08-31
P,MN,2,10002,357 GRAND STREET,987555,199917,D4,690000,2018-02-09
 ,MN,1,10002,409 GRAND STREET,988158,199791,D4,815000,2018-03-05
 ,MN,1,10002,409 GRAND STREET,988158,199791,D4,0,2017-11-01
P,MN,1,10002,570 GRAND STREET,990244,199524,D4,0,2017-07-25
